actual,predicted
7000000.0,5774333.333333332
11500000.0,11223333.333333334
20500000.0,21896666.666666668
4900000.0,4710400.0
4600000.0,3559955.5555555555
2700000.0,2301666.6666666665
1800000.0,3495600.0
475000.0,762126.4550264549
54000000.0,50001333.333333336
4100000.0,4122592.063492064
22000000.0,22783333.333333332
2800000.0,2718833.3333333335
2100000.0,2162666.6666666665
25500000.0,29880000.0
15000000.0,14870000.0
5500000.0,5245733.333333333
10500000.0,10050000.0
5500000.0,5459666.666666667
4600000.0,5286000.0
3600000.0,3974444.444444445
6500000.0,6376666.666666667
2900000.0,2826866.666666666
4600000.0,4399600.0
6500000.0,7095333.333333333
8000000.0,7703333.333333333
4400000.0,8029333.333333333
2200000.0,2543333.3333333335
30500000.0,27813333.333333332
17000000.0,14890000.0
3100000.0,3577315.8730158736
3800000.0,4670166.666666667
7500000.0,7115000.0
18500000.0,21533333.333333332
12000000.0,13312333.333333334
1900000.0,1598888.8888888888
4600000.0,5060000.0
9500000.0,8890000.0
12500000.0,11823333.333333334
2800000.0,4409600.0
12500000.0,11800000.0
15000000.0,15226666.666666666
2700000.0,2279444.444444444
6000000.0,5980000.0
17500000.0,17363111.11111111
4000000.0,10966666.666666666
6500000.0,7202500.0
10500000.0,10993333.333333334
8000000.0,7520555.555555557
10500000.0,10556666.666666666
12000000.0,12123333.333333334
3300000.0,3106222.2222222215
17500000.0,16208888.88888889
6500000.0,6066666.666666667
3500000.0,3003244.4444444445
39500000.0,37020000.0
2200000.0,2534471.4285714286
6000000.0,5557166.666666667
3600000.0,3675466.6666666665
15500000.0,15703333.333333334
5500000.0,5286000.0
23000000.0,23376666.666666668
7500000.0,7648833.333333333
59500000.0,63410000.0
28000000.0,27730000.0
7500000.0,7009722.222222222
16500000.0,15763777.777777776
1900000.0,1366111.111111111
46500000.0,48737222.22222222
9000000.0,9000000.0
8000000.0,8683333.333333334
2000000.0,2588888.888888889
1400000.0,1182222.222222222
46000000.0,45587333.333333336
17500000.0,16546222.222222224
12500000.0,13896666.666666666
6000000.0,5430666.666666667
9500000.0,10078888.888888888
82500000.0,88930000.0
17000000.0,15204444.444444446
4800000.0,5111200.0
21000000.0,20500277.77777778
6500000.0,6316666.666666667
2600000.0,2497222.222222222
4100000.0,3528555.555555556
34000000.0,32226666.666666668
4800000.0,4758000.0
3700000.0,4219444.444444445
8500000.0,8516666.666666666
2500000.0,2405666.6666666665
7000000.0,6400648.148148148
19500000.0,19185555.555555556
6000000.0,6263333.333333333
21500000.0,22680000.0
40000000.0,36360000.0
7500000.0,8280000.0
26000000.0,19006666.666666668
7000000.0,7340000.0
3900000.0,3650833.3333333335
55000000.0,53252166.666666664
4600000.0,5287527.777777777
27500000.0,27350000.0
2600000.0,2669365.0793650793
7000000.0,8300000.0
12500000.0,12913333.333333334
4200000.0,4055666.6666666665
30000000.0,27950000.0
13500000.0,16260555.55555556
20500000.0,19483333.333333332
2400000.0,858166.6666666666
34500000.0,39099555.55555555
6500000.0,6826666.666666667
1400000.0,1396999.9999999998
60500000.0,61330000.0
16500000.0,21446666.666666668
825000.0,2177222.222222222
8500000.0,8466111.11111111
6500000.0,7006666.666666667
2100000.0,2356000.0
72500000.0,64053333.333333336
2900000.0,3027253.9682539687
7000000.0,6329166.666666667
14500000.0,15463333.333333334
16000000.0,13492000.0
12500000.0,12273333.333333334
1800000.0,1845733.3333333333
7000000.0,7391111.11111111
6500000.0,5559333.333333333
6000000.0,6147333.333333333
12500000.0,12173333.333333334
3500000.0,3904133.3333333335
13000000.0,14896666.666666666
2100000.0,2542666.6666666665
3600000.0,3650833.3333333335
6500000.0,6693293.65079365
10500000.0,10140000.0
6000000.0,5602000.0
4100000.0,3235200.0000000005
15000000.0,17816666.666666668
22500000.0,23345992.063492063
4100000.0,4495444.444444443
2500000.0,2817333.3333333335
23500000.0,20613333.333333332
2100000.0,2426111.1111111115
2900000.0,3088444.4444444436
26500000.0,27616666.666666668
2100000.0,1878000.0
11000000.0,11890000.0
5500000.0,5243233.333333333
27500000.0,27320000.0
1900000.0,2164000.0
23000000.0,21376666.666666668
15000000.0,15160000.0
4100000.0,3528555.555555556
7000000.0,5924000.0
2100000.0,2226000.0
16000000.0,22810000.0
4100000.0,3974444.444444445
2800000.0,3017333.3333333335
2900000.0,2971000.0
350000.0,581541.6666666666
2800000.0,3932909.090909091
76000000.0,73003333.33333333
10000000.0,11440000.0
4500000.0,4494888.888888888
15000000.0,15293333.333333334
5500000.0,7420666.666666667
6000000.0,5245333.333333333
29000000.0,34726666.666666664
25500000.0,23156666.666666668
4100000.0,3847799.999999999
43000000.0,40376666.666666664
14500000.0,14346666.666666666
20000000.0,22260000.0
9000000.0,8956666.666666666
15000000.0,14943333.333333334
15000000.0,15890000.0
2200000.0,3003244.4444444445
15500000.0,14926666.666666666
20000000.0,22579722.22222222
12500000.0,12040000.0
5500000.0,5751333.333333333
4800000.0,4798206.349206348
5500000.0,5409222.222222222
3100000.0,2946888.8888888885
9000000.0,8602666.666666666
11000000.0,13308666.666666666
4200000.0,4055666.6666666665
3300000.0,3088799.999999999
11500000.0,12663333.333333334
16000000.0,17417222.222222224
9000000.0,10027777.777777778
1500000.0,1583333.3333333333
1900000.0,2286000.0
7500000.0,7468333.333333333
5000000.0,4728000.0
32000000.0,36893333.333333336
9500000.0,10173333.333333334
4800000.0,4853222.222222222
3800000.0,4165333.3333333326
31000000.0,17910000.0
4700000.0,5015833.862433861
4500000.0,4393333.333333333
2400000.0,3036666.6666666665
17000000.0,16496000.0
9000000.0,8713333.333333334
5000000.0,4744484.126984128
1800000.0,1539677.7777777778
1000000.0,1553582.5396825394
33000000.0,35403333.333333336
44500000.0,43003333.333333336
